Id,Zip Code,Status,Days,Created at
1782,403715,enable,5,2/24/2018
1783,403717,enable,5,2/24/2018
1784,403503,enable,5,2/24/2018
1785,403512,enable,5,2/24/2018
1786,403517,enable,5,2/24/2018
1787,403514,enable,5,2/24/2018
1788,403502,enable,5,2/24/2018
1789,403601,enable,5,2/24/2018
1790,403602,enable,5,2/24/2018
1791,403707,enable,5,2/24/2018
1792,403708,enable,5,2/24/2018
1793,403716,enable,5,2/24/2018
1794,403721,enable,5,2/24/2018
1795,403704,enable,5,2/24/2018
1796,403529,enable,5,2/24/2018
1797,403105,enable,5,2/24/2018
1798,403107,enable,5,2/24/2018
1799,403115,enable,5,2/24/2018
1800,403710,enable,5,2/24/2018
1801,403711,enable,5,2/24/2018
1802,403712,enable,5,2/24/2018
1803,403104,enable,5,2/24/2018
1804,403106,enable,5,2/24/2018
1805,403719,enable,5,2/24/2018
1806,403520,enable,5,2/24/2018
1807,403001,enable,5,2/24/2018
1808,403003,enable,5,2/24/2018
1809,403102,enable,5,2/24/2018
1810,403408,enable,5,2/24/2018
1811,403718,enable,5,2/24/2018
1812,403720,enable,5,2/24/2018
1813,403724,enable,5,2/24/2018
1814,403725,enable,5,2/24/2018
1815,403731,enable,5,2/24/2018
1816,403709,enable,5,2/24/2018
1817,403729,enable,5,2/24/2018
1818,403504,enable,5,2/24/2018
1819,403507,enable,5,2/24/2018
1820,403508,enable,5,2/24/2018
1821,403510,enable,5,2/24/2018
1822,403511,enable,5,2/24/2018
1823,403526,enable,5,2/24/2018
1824,403527,enable,5,2/24/2018
1825,403513,enable,5,2/24/2018
1826,403103,enable,5,2/24/2018
1827,403406,enable,5,2/24/2018
1828,403407,enable,5,2/24/2018
1829,403506,enable,5,2/24/2018
1830,403405,enable,5,2/24/2018
1831,403401,enable,5,2/24/2018
1832,403404,enable,5,2/24/2018
1833,403409,enable,5,2/24/2018
1834,403804,enable,5,2/24/2018
1835,403713,enable,5,2/24/2018
1836,403722,enable,5,2/24/2018
1837,403726,enable,5,2/24/2018
1838,403801,enable,5,2/24/2018
1839,403802,enable,5,2/24/2018
1840,403803,enable,5,2/24/2018
1841,403604,enable,5,2/24/2018
1842,403806,enable,5,2/24/2018
1843,403002,enable,5,2/24/2018
1844,403004,enable,5,2/24/2018
1845,403005,enable,5,2/24/2018
1846,403006,enable,5,2/24/2018
1847,403108,enable,5,2/24/2018
1848,403110,enable,5,2/24/2018
1849,403201,enable,5,2/24/2018
1850,403202,enable,5,2/24/2018
1851,403203,enable,5,2/24/2018
1852,403204,enable,5,2/24/2018
1853,403206,enable,5,2/24/2018
1854,403531,enable,5,2/24/2018
1855,403518,enable,5,2/24/2018
1856,403519,enable,5,2/24/2018
1857,403101,enable,5,2/24/2018
1858,403109,enable,5,2/24/2018
1859,403114,enable,5,2/24/2018
1860,403501,enable,5,2/24/2018
1861,403509,enable,5,2/24/2018
1862,403515,enable,5,2/24/2018
1863,403516,enable,5,2/24/2018
1864,403521,enable,5,2/24/2018
1865,403403,enable,5,2/24/2018
1866,403603,enable,5,2/24/2018
1867,403723,enable,5,2/24/2018
1868,403111,enable,5,2/24/2018
1869,403730,enable,5,2/24/2018
1870,430507,enable,5,2/24/2018
1871,390003,enable,5,2/24/2018
1872,390007,enable,5,2/24/2018
1873,390005,enable,5,2/24/2018
1874,360030,enable,5,2/24/2018
